nu,mu_meV,E_meV
1.963358395989975025e-01,1.029965851720223924e+01,2.359569343473550074e+00
1.969924812030075245e-01,1.029104616416096185e+01,2.366329700148383619e+00
1.976491228070175465e-01,1.028244815311963301e+01,2.373084406302678584e+00
1.983057644110275686e-01,1.027386441266556005e+01,2.379833471330542682e+00
1.989624060150375906e-01,1.026529487197672275e+01,2.386576904579384983e+00
1.996190476190476126e-01,1.025673946081496801e+01,2.393314715350301380e+00
2.002756892230576347e-01,1.024819810951928822e+01,2.400046912898456064e+00
2.009323308270676567e-01,1.023967074899919716e+01,2.406773506433458554e+00
2.015889724310777065e-01,1.023115731072821788e+01,2.413494505119735400e+00
2.022456140350877285e-01,1.022265772673745943e+01,2.420209918076898337e+00
2.029022556390977505e-01,1.021417192960927345e+01,2.426919754380109762e+00
2.035588972431077726e-01,1.020569985247102807e+01,2.433624023060442010e+00
2.042155388471177946e-01,1.019724142898895636e+01,2.440322733105232178e+00
2.048721804511278166e-01,1.018879659336209009e+01,2.447015893458435176e+00
2.055288220551378386e-01,1.018036528031629828e+01,2.453703513020971005e+00
2.061854636591478607e-01,1.017194742509838790e+01,2.460385600651069371e+00
2.068421052631578827e-01,1.016354296347031827e+01,2.467062165164609411e+00
2.074987468671679325e-01,1.015515183170346347e+01,2.473733215335456315e+00
2.081553884711779545e-01,1.014677396657299013e+01,2.480398759895792615e+00
2.088120300751879765e-01,1.013840930535228857e+01,2.487058807536449923e+00
2.094686716791979986e-01,1.013005778580749805e+01,2.493713366907231777e+00
2.101253132832080206e-01,1.012171934619210845e+01,2.500362446617236500e+00
2.107819548872180426e-01,1.011339392524162228e+01,2.507006055235176056e+00
2.114385964912280647e-01,1.010508146216831449e+01,2.513644201289689128e+00
2.120952380952380867e-01,1.009678189665605430e+01,2.520276893269654206e+00
2.127518796992481087e-01,1.008849516885518938e+01,2.526904139624496004e+00
2.134085213032581585e-01,1.008022121937751692e+01,2.533525948764492330e+00
2.140651629072681805e-01,1.007195998929131875e+01,2.540142329061072957e+00
2.147218045112782026e-01,1.006371142011646036e+01,2.546753288847118935e+00
2.153784461152882246e-01,1.005547545381956809e+01,2.553358836417258360e+00
2.160350877192982466e-01,1.004725203280925427e+01,2.559958980028156361e+00
2.166917293233082686e-01,1.003904109993143123e+01,2.566553727898805537e+00
2.173483709273182907e-01,1.003084259846466786e+01,2.573143088210810170e+00
2.180050125313283127e-01,1.002265647211562083e+01,2.579727069108670001e+00
2.186616541353383347e-01,1.001448266501452444e+01,2.586305678700058674e+00
2.193182957393483845e-01,1.000632112171074439e+01,2.592878925056101735e+00
2.199749373433584065e-01,9.998171787168388391e+00,2.599446816211648414e+00
2.206315789473684286e-01,9.990034606761971858e+00,2.606009360165545186e+00
2.212882205513784506e-01,9.981909526272152888e+00,2.612566564880902220e+00
2.219448621553884726e-01,9.973796491881508075e+00,2.619118438285358508e+00
2.226015037593984947e-01,9.965695450170386493e+00,2.625664988271345646e+00
2.232581453634085167e-01,9.957606348112790329e+00,2.632206222696345854e+00
2.239147869674185387e-01,9.949529133072342546e+00,2.638742149383150881e+00
2.245714285714285607e-01,9.941463752798274101e+00,2.645272776120116021e+00
2.252280701754386105e-01,9.933410155421496412e+00,2.651798110661411467e+00
2.258847117794486326e-01,9.925368289450695158e+00,2.658318160727271895e+00
2.265413533834586546e-01,9.917338103768496893e+00,2.664832934004243370e+00
2.271979949874686766e-01,9.909319547627678304e+00,2.671342438145428488e+00
2.278546365914786986e-01,9.901312570647423428e+00,2.677846680770726628e+00
2.285112781954887207e-01,9.893317122809630604e+00,2.684345669467074647e+00
2.291679197994987427e-01,9.885333154455267390e+00,2.690839411788682689e+00
2.298245614035087647e-01,9.877360616280768113e+00,2.697327915257270003e+00
2.304812030075187868e-01,9.869399459334491809e+00,2.703811187362296753e+00
2.311378446115288088e-01,9.861449635013201487e+00,2.710289235561192722e+00
